subscriber_id,site_id,site_name,site_group_name,site_type,maf_number,lat,lon,landowner_id,trading_name,contract_name
34,12479,Te Kowhai 01,Te Kowhai Permanent,HONEY,73,-39.49027,175.05239,1391,Operiki Station,AWHI - Justin Booth
34,12617,Te Kowhai 01 Heli,Te Kowhai Heli,HONEY,155,-39.503523,175.066936,1391,Operiki Station,AWHI - Justin Booth
34,12480,Te Kowhai 02,Te Kowhai Permanent,HONEY,74,-39.49352,175.05464,1391,Operiki Station,AWHI - Justin Booth
34,12616,Te Kowhai 02 Heli,Te Kowhai Heli,HONEY,,-39.513942,175.056309,1391,Operiki Station,AWHI - Justin Booth
34,17158,Te Kowhai 03,Te Kowhai Permanent,PERMANENT,75,-39.49642,175.05221,1386,Waipuna Station,AWHI - Greg Shaw
34,16005,Te Kowhai 03 Heli,Te Kowhai Heli,HONEY,,-39.516273,175.0614,,,
34,3778,Te Kowhai 04 Heli,Te Kowhai Heli,HONEY,156,-39.505638,175.061064,1391,Operiki Station,AWHI - Justin Booth
34,16006,Te Kowhai 05 Heli,Te Kowhai Heli,HONEY,,-39.506405,175.067832,,,
34,16007,Te Kowhai 06 Heli,Te Kowhai Heli,HONEY,132,-39.510015,175.067832,,,
34,12615,Te Kowhai 07 Heli,Te Kowhai Heli,HONEY,157,-39.518791,175.057186,1391,Operiki Station,AWHI - Justin Booth
34,12481,Te Kowhai 08 Heli,Te Kowhai Heli,HONEY,158,-39.500071,175.065754,1391,Operiki Station,AWHI - Justin Booth
34,3777,Te Kowhai 09 Heli,Te Kowhai Heli,HONEY,159,-39.504081,175.062306,1391,Operiki Station,AWHI - Justin Booth
34,12478,Te Kowhai Dam,Te Kowhai Permanent,HONEY,71,-39.49284,175.05958,1386,Waipuna Station,AWHI - Greg Shaw
34,17211,Te Kowhai Riverside,Te Kowhai Permanent,PERMANENT,72,-39.50294,175.04588,1391,Operiki Station,AWHI - Justin Booth
34,19931,Te Kowhai Top 3,Te Kowhai Permanent,PERMANENT,186,-39.50972,175.05339,,,
34,18100,Te Kowhai Top Big Rock,Te Kowhai Permanent,PERMANENT,160,-39.5082,175.05363,1391,Operiki Station,AWHI - Justin Booth
34,19930,Te Kowhai Top Corner,Te Kowhai Permanent,WINTERING,187,-39.50488,175.04873,,,
34,18101,Te Kowhai Top No.1,Te Kowhai Permanent,PERMANENT,161,-39.50525,175.04933,1391,Operiki Station,AWHI - Justin Booth
34,12967,Te Paenga 1,Te Paenga Heli,HONEY,137,-39.57859,175.28434,1390,Te Paenga Station,AWHI - Sheldon  O Hagen
34,27689,Te paenga 1 B,Te Paenga Heli,HONEY,,-39.5767,175.28988,1390,Te Paenga Station,AWHI - Sheldon  O Hagen
34,9852,Te Paenga 2,Te Paenga ,HONEY,138,-39.582325,175.279,1390,Te Paenga Station,AWHI - Sheldon  O Hagen
34,10582,Te Paenga 3,Te Paenga ,WINTERING,139,-39.58949,175.28218,1390,Te Paenga Station,AWHI - Sheldon  O Hagen
34,17155,Te Paenga 5,Te Paenga ,PERMANENT,230,-39.61153,175.30395,1390,Te Paenga Station,AWHI - Sheldon  O Hagen
34,9851,Te Paenga 6,Te Paenga ,HONEY,,-39.627107,175.31269,1390,Te Paenga Station,AWHI - Sheldon  O Hagen
34,18987,Te Paenga 7,Te Paenga ,PERMANENT,,-39.63265,175.31391,1390,Te Paenga Station,AWHI - Sheldon  O Hagen
34,27086,Te Paenga 8,Te Paenga ,PERMANENT,,-39.59709,175.2859,1390,Te Paenga Station,AWHI - Sheldon  O Hagen
34,27728,Te Paenga 9 ,Te Paenga ,PERMANENT,,-39.60723,175.29783,1390,Te Paenga Station,AWHI - Sheldon  O Hagen
34,12963,Te Paenga Heli 1,Te Paenga Heli,HONEY,143,-39.58846,175.2585,,,
34,12964,Te Paenga Heli 2,Te Paenga Heli,HONEY,138,-39.58947,175.26804,1390,Te Paenga Station,AWHI - Sheldon  O Hagen
34,12965,Te Paenga Heli 3,Te Paenga Heli,HONEY,,-39.60496,175.25832,1390,Te Paenga Station,AWHI - Sheldon  O Hagen
34,12969,Te Paenga Heli 5,Te Paenga Heli,HONEY,146,-39.57559,175.3049,1390,Te Paenga Station,AWHI - Sheldon  O Hagen
34,19677,Te pa reserve,Te Pa,WINTERING,,-39.4946,175.4033,1384,Tepa Station,AWHI - Hamish
34,19700,Te Pa woolshed,Te Pa,WINTERING,,-39.49949,175.42819,1384,Tepa Station,AWHI - Hamish
34,33904,test 123,,BREEDING,,-38.4525,174.51653,,,
34,19122,Tohunga 1,Tohunga,PERMANENT,,-39.39428,175.36836,5207,Tohunga station,AWHI-simon
34,19123,Tohunga 2,Tohunga,PERMANENT,,-39.39565,175.36608,5207,Tohunga station,AWHI-simon
34,28215,Tohunga Nucs,,DUMP_SITE,,-39.395359,175.374004,5207,Tohunga station,AWHI-simon
34,24285,Tohunga QueenRearing,Retaruke,BREEDING,,-39.39982,175.38084,5207,Tohunga station,AWHI-simon
34,32406,Tokaanu 1,Omori,WINTERING,324,-38.98807,175.77052,6091,,Wallace
34,32407,Tokaanu 2,Omori,WINTERING,325,-38.98427,175.77672,6091,,Wallace
34,32442,Tokaanu 3,Omori,WINTERING,,-38.987091,175.777935,6091,,Wallace
34,34797,Tripe Rd 1,Queen Rearing,BREEDING,,-39.868969,175.306875,4232,,Ngati Apa
34,34798,Tripe Rd 2,Queen Rearing,BREEDING,,-39.870003,175.317228,4232,,Ngati Apa
34,32988,Tukaanu 4,Omori,WINTERING,329,-38.98326,175.7746,6091,,Wallace
34,14459,Tutu Rd 1,Lismore,WINTERING,,-39.81926,175.24834,4232,,Ngati Apa
34,14461,Tutu Rd 3,Lismore,WINTERING,,-39.82526,175.27047,4232,,Ngati Apa
34,22413,Under Kanuka,Papahaua Permanent,BREEDING,,-39.65341,175.16898,1387,Papahaua Station,AWHI - Justin Booth
34,10171,Waipuna,Waipuna Permanent,DUMP_SITE,,-39.46535,175.15782,3363,,waipuna station
34,3800,Waipuna 01,Waipuna,HONEY,,-39.47627,175.15643,1386,Waipuna Station,AWHI - Greg Shaw
34,3801,Waipuna 02,Waipuna,HONEY,,-39.48035,175.15366,1386,Waipuna Station,AWHI - Greg Shaw
34,3802,Waipuna 03,Waipuna,HONEY,,-39.49014,175.15063,1386,Waipuna Station,AWHI - Greg Shaw
34,3803,Waipuna 04,Waipuna,HONEY,,-39.489049,175.146947,1386,Waipuna Station,AWHI - Greg Shaw
34,3804,Waipuna 05,Waipuna,HONEY,,-39.48529,175.144,1386,Waipuna Station,AWHI - Greg Shaw
34,3805,Waipuna 06,Waipuna,HONEY,,-39.49534,175.14763,1386,Waipuna Station,AWHI - Greg Shaw
34,3743,Waipuna 07,Waipuna,HONEY,,-39.49611,175.15387,1386,Waipuna Station,AWHI - Greg Shaw
34,3806,Waipuna 08 ,Waipuna,HONEY,,-39.49145,175.13313,1386,Waipuna Station,AWHI - Greg Shaw
34,3807,Waipuna 09 ,Waipuna,HONEY,,-39.50172,175.13811,1386,Waipuna Station,AWHI - Greg Shaw
34,12970,Waipuna 10 ,Waipuna,HONEY,,-39.49331,175.13787,1386,Waipuna Station,AWHI - Greg Shaw
34,12976,Waipuna 14,Waipuna,HONEY,,-39.50881,175.16775,1386,Waipuna Station,AWHI - Greg Shaw
34,12971,Waipuna 15,Waipuna,HONEY,,-39.50961,175.19254,1386,Waipuna Station,AWHI - Greg Shaw
34,12975,Waipuna 16,Waipuna,HONEY,,-39.51907,175.15111,1386,Waipuna Station,AWHI - Greg Shaw
34,12977,Waipuna 17,Waipuna,HONEY,,-39.49928,175.17604,1386,Waipuna Station,AWHI - Greg Shaw
34,16008,Waipuna 20,Waipuna,PERMANENT,,-39.48533,175.15241,,,
34,16009,Waipuna 21,Waipuna,HONEY,,-39.481,175.15209,,,
34,16010,Waipuna 22,Waipuna,HONEY,,-39.49328,175.12963,,,
34,16011,Waipuna 23,Waipuna,HONEY,,-39.51305,175.19575,,,
34,16012,Waipuna 24,Waipuna,HONEY,,-39.52353,175.18257,,,
34,17161,Waipuna Horse Paddock,Waipuna Permanent,PERMANENT,182,-39.45861,175.15689,,,
34,17159,Waipuna Old Cattle Yards,Waipuna Permanent,PERMANENT,185,-39.45727,175.18862,1386,Waipuna Station,AWHI - Greg Shaw
34,17160,Waipuna Old Sheep Yards,Waipuna Permanent,PERMANENT,191,-39.45819,175.17656,,,
34,28699,Ward 1,Makakahi,WINTERING,312,-39.344181,175.163252,6415,,John Ward
34,28700,Ward 2,Makakahi,WINTERING,327,-39.34402,175.16451,6415,,John Ward
34,28701,Ward 3,Makakahi,WINTERING,314,-39.350527,175.147628,6415,,John Ward
34,28703,Ward 4,Makakahi,WINTERING,316,-39.354988,175.15112,6415,,John Ward
34,28702,Ward 5,Makakahi,WINTERING,315,-39.357499,175.148653,6415,,John Ward
34,9861,willow,Te Pa,HONEY,,-39.51374,175.36215,1384,Tepa Station,AWHI - Hamish
34,23525,WP 1,Waipuna,HONEY,192,-39.49023,175.19385,,,
34,23527,WP 2,Waipuna,HONEY,193,-39.49127,175.20525,,,
34,23528,WP 3,Waipuna,HONEY,194,-39.49588,175.21563,,,
34,23537,WP 4,Waipuna,HONEY,195,-39.50044,175.19197,,,
34,23547,WP 5,Waipuna,HONEY,198,-39.51274,175.18633,,,
34,23549,WP 6,Waipuna,HONEY,199,-39.51815,175.18326,,,
34,23552,WP 7,Waipuna,HONEY,200,-39.52077,175.17819,,,
34,23553,WP Back ,Waipuna,HONEY,,-39.52676,175.17187,,,
34,23545,WP Heli 1 ,Waipuna,HONEY,201,-39.51245,175.19647,,,
34,23555,WP Heli 2,Waipuna,HONEY,202,-39.50025,175.16647,,,
34,23557,WP Heli 3,Waipuna,HONEY,203,-39.52276,175.15065,,,
34,23540,WP Paddock,Waipuna,HONEY,196,-39.51019,175.19273,,,
34,23543,WP Paddock 2,Waipuna,HONEY,197,-39.51047,175.18943,,,
34,28474,WP Wool Shed,Waipuna,HONEY,309,-39.5034,175.19021,1386,Waipuna Station,AWHI - Greg Shaw
